fav_cnt,play_cnt,tid,title,uin,encrypt_uin,nick,class
10545,1991538,7295800284,欧美流行|北欧女声,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
61013,15281977,7295807100,国风| 思君谣,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
18294,4163815,7289127673,追星星的人,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
6520,1621838,7289042850,恋爱行星,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4188,1003998,7289014954,华语| 狂欢吧,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3168,1077769,7288957140,华语流行|已读不回,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2760,1181074,7288956231,华语流行|眼泪的重量,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2606,555196,7288955264,华语放克| 浓烈节拍,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
10293,4627190,7288953395,华语| 焦糖人生,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3499,420021,7287914163,Urban厂牌合辑| GO$H MUSIC,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4114,483284,7287898924,Urban厂牌合辑| SUP MUSIC,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1278,85699,7287892714,Urban厂牌合辑| CHEE精气神,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
363,84898,7378364419,吐槽大会朱丹专场,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1567,170967,7368992809,吐槽大会周震南专场,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1146,232929,7358517539,吐槽大会郑钧专场,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1601,282256,7349332730,吐槽大会PDD专场,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1210,204382,7339784695,吐槽大会孙杨专场,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1354,270822,7330647975,吐槽大会甄子丹专场,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2217,411716,7321491492,吐槽大会李佳琦专场,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
8164,745505,7287825028,华语| 考研备战BGM,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2921,286800,7287811618,Urban厂牌合辑| M_DSK,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
6710,1275887,7287727425,欧美女声| 极致个性,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1729,445919,7287526421,华语独立女声,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
5778,985534,7286612368,华语| 阅读时间,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1582,899915,7286611153,华语| 梳妆台时光,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3483,1203370,7286446806,华语| 魅惑女声,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
21822,1906317,7285384937,华语| 学霸刷题中,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
22432,18260504,7285342732,华语流行|与我无关,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
74385,36143831,7285280667,华语| 失恋诊疗所,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
8047,1293938,7285279535,华语| 减压降噪,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
12180,2598416,7280831999,纯音乐| 梦中的婚礼,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
12006,7709235,7280801712,华语流行| 恋人未满,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3067,511071,7280776631,华语醉爵士,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
